sample,length,sex,catch_date,ices_area,year,qtr,month,cv,modal_age,R01 DE,R01 NO,R02 DE,R02 NO,R03 DK,R03 GB,R04 GB-SCT,R04 NL,R05 FR,R05 NO,R06 NO,R07 DK,R08 GB-SCT,R09 GB-SCT,R99 FR
794,150,F,2016-08-25,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
795,160,M,2016-08-25,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
796,160,M,2016-08-25,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
797,190,F,2016-08-26,27.4.a,2016,3,8,0,3,3,NA,3,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA
798,180,F,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
799,160,M,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
800,180,F,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
801,160,M,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
802,170,M,2016-08-26,27.4.a,2016,3,8,20,2,3,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
803,170,M,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
804,150,F,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
805,150,M,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
806,190,F,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
807,140,M,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
808,130,M,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
809,140,F,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
810,130,M,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
811,170,F,2016-08-26,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
812,150,F,2016-08-26,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
815,170,F,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
816,150,M,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
817,130,M,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
818,160,F,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
819,160,F,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
820,150,F,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
821,180,F,2016-08-29,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
822,140,M,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
823,170,F,2016-08-29,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
824,140,M,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
825,130,M,2016-08-29,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
828,140,M,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
829,150,F,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
830,150,M,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
831,140,F,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
832,160,F,2016-08-30,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
833,130,F,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
834,130,F,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
835,160,F,2016-08-30,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
836,140,M,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
837,150,M,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
838,150,F,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
839,140,M,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
840,170,M,2016-08-31,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
841,160,F,2016-08-31,27.4.a,2016,3,8,0,2,NA,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
842,170,F,2016-08-31,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
843,160,F,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
844,180,F,2016-08-31,27.4.a,2016,3,8,0,2,2,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA
845,130,M,2016-08-31,27.4.a,2016,3,8,0,1,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
